,image.name,X.x,Blue.count,red.count,Blue.percentage,red.percentage,total.clusters,average.clusters.32,area,circularity,X.1,X.y,Count_Nuclei,ImageNumber,Texture_AngularSecondMoment_3_0,Texture_AngularSecondMoment_3_135,Texture_AngularSecondMoment_3_45,Texture_AngularSecondMoment_3_90,Texture_Contrast_3_0,Texture_Contrast_3_135,Texture_Contrast_3_45,Texture_Contrast_3_90,Texture_Correlation_3_0,Texture_Correlation_3_135,Texture_Correlation_3_45,Texture_Correlation_3_90,Texture_DifferenceEntropy_3_0,Texture_DifferenceEntropy_3_135,Texture_DifferenceEntropy_3_45,Texture_DifferenceEntropy_3_90,Texture_DifferenceVariance_3_0,Texture_DifferenceVariance_3_135,Texture_DifferenceVariance_3_45,Texture_DifferenceVariance_3_90,Texture_Entropy_3_0,Texture_Entropy_3_135,Texture_Entropy_3_45,Texture_Entropy_3_90,Texture_Gabor_3,Texture_InfoMeas1_3_0,Texture_InfoMeas1_3_135,Texture_InfoMeas1_3_45,Texture_InfoMeas1_3_90,Texture_InfoMeas2_3_0,Texture_InfoMeas2_3_135,Texture_InfoMeas2_3_45,Texture_InfoMeas2_3_90,Texture_InverseDifferenceMoment_3_0,Texture_InverseDifferenceMoment_3_135,Texture_InverseDifferenceMoment_3_45,Texture_InverseDifferenceMoment_3_90,Texture_SumAverage_3_0,Texture_SumAverage_3_135,Texture_SumAverage_3_45,Texture_SumAverage_3_90,Texture_SumEntropy_3_0,Texture_SumEntropy_3_135,Texture_SumEntropy_3_45,Texture_SumEntropy_3_90,Texture_SumVariance_3_0,Texture_SumVariance_3_135,Texture_SumVariance_3_45,Texture_SumVariance_3_90,Texture_Variance_3_0,Texture_Variance_3_135,Texture_Variance_3_45,Texture_Variance_3_90,classification
1,Case 3 A10-10547-25283,548,16611,52475,1.584148407,5.004405975,123,0.112844037,81.25203252,0.081105888,1,1,167,1,0.477033444,0.456515064,0.448778855,0.459776308,1.188465085,1.519121946,1.673483679,1.457323932,0.614999299,0.507843643,0.4577838,0.528050312,0.866353941,0.947173856,0.978392636,0.933865859,0.938793049,1.165285727,1.271896879,1.122984814,1.535426598,1.589831992,1.608988219,1.581371096,0.084337661,-0.191642305,-0.127367686,-0.104887529,-0.137819065,0.527145539,0.441298561,0.404051313,0.457068925,0.814793987,0.787887181,0.778251302,0.792563923,3.223039797,3.222990078,3.222962259,3.223409953,1.251310628,1.272595587,1.279649887,1.269985838,4.985358806,4.654159866,4.499265663,4.718412169,1.545288008,1.538942924,1.542345902,1.541255752,Non-Tumor
2,Case 3 A10-10566-40206,549,93148,282307,8.883285522,26.92289352,143,0.131192661,69.67132867,0.119116834,2,2,72,2,0.247075766,0.230413957,0.234218444,0.235132798,0.413731559,0.631050582,0.549778836,0.501410803,0.96617316,0.94835737,0.955004396,0.95898941,0.521117983,0.645369109,0.615629729,0.606177461,0.371526886,0.549083913,0.480276401,0.436596616,1.794227381,1.899580703,1.874992534,1.867380622,0.059913129,-0.640197317,-0.561172945,-0.579822483,-0.585455376,0.903023262,0.879117573,0.885293785,0.887052582,0.915208887,0.885190643,0.892664358,0.893948647,8.233204273,8.244354357,8.244345723,8.236317604,1.657041528,1.708659382,1.697252138,1.689416005,24.04767372,23.80546989,23.88665952,23.94966616,6.115417033,6.105633251,6.105821108,6.109400911,Non-Tumor
3,Case 3 A10-13444-20223,550,107853,198888,10.2856636,18.96743774,166,0.152293578,75.36144578,0.094944226,3,3,191,3,0.307340155,0.298732358,0.28891695,0.299227428,0.927150924,1.063398312,1.360847281,1.010966959,0.924871922,0.913897026,0.889811726,0.918091517,0.643303069,0.764338292,0.875948509,0.778593615,0.824982967,0.912710688,1.132619805,0.858567317,1.817512024,1.902520895,1.975168778,1.904614883,0.142948746,-0.574792514,-0.508185195,-0.451185541,-0.505588102,0.877041642,0.852529836,0.827087768,0.851355663,0.89180969,0.862656128,0.834739381,0.8582424,6.399359543,6.404295303,6.404252135,6.397255295,1.652502102,1.678369324,1.70131634,1.668477489,23.75472367,23.63631719,23.33888969,23.67339117,6.170839789,6.175347402,6.176096916,6.171855599,Non-Tumor
4,Case 3 A10-14507-37285,551,58609,208594,5.589389801,19.89307404,153,0.140366972,68.39869281,0.134178497,4,4,69,4,0.225479996,0.204199057,0.20193365,0.204288881,0.789810465,1.299816488,1.452832343,1.319905997,0.926025024,0.878304779,0.863991552,0.876403253,0.715347334,0.912516974,0.938158354,0.915347274,0.678088497,1.052432777,1.175445397,1.069459123,1.997441315,2.150836615,2.175322756,2.155194103,0.054065669,-0.535380082,-0.422081011,-0.403959643,-0.418637474,0.876349478,0.826825536,0.817163948,0.824997773,0.872706273,0.819893545,0.814980527,0.820054512,7.278219882,7.271135729,7.271110787,7.268908584,1.778280453,1.839085789,1.850144858,1.839611081,20.56209197,20.06185903,19.90884902,20.03798235,5.34103155,5.336172292,5.34222848,5.338274254,Non-Tumor
5,Case 3 A10-14726-26052,552,13419,56428,1.279735565,5.381393433,81,0.074311927,82.67901235,0.096306609,5,5,250,5,0.509707776,0.4803359,0.474766724,0.482293446,1.035507277,1.459297936,1.530460717,1.418595242,0.586834895,0.417651039,0.389255753,0.433886755,0.825387581,0.937501148,0.955977128,0.929610647,0.830482218,1.126221085,1.169520309,1.094993984,1.437309058,1.505906469,1.516026117,1.501653018,0.193758973,-0.176490479,-0.089439773,-0.076624026,-0.094911881,0.492831836,0.362680677,0.337342436,0.372823376,0.828989948,0.793357552,0.786071503,0.795144749,3.033104608,3.033100195,3.033110747,3.03312565,1.171169649,1.199718202,1.204214896,1.197788277,3.977051466,3.552464723,3.481328103,3.593105105,1.252694071,1.253965974,1.253085234,1.253501789,Non-Tumor
6,Case 3 A10-14813-24100,553,17396,34399,1.659011841,3.280544281,170,0.155963303,63.78235294,0.109151772,6,6,176,6,0.690618075,0.668737101,0.662840274,0.671829879,0.954941349,1.388296316,1.448363984,1.241341018,0.695378467,0.557509439,0.538363024,0.604011024,0.604514099,0.695838429,0.711936308,0.676646099,0.851015309,1.209336105,1.252707245,1.082122536,1.003648013,1.062081287,1.071813967,1.049152767,0.114033988,-0.273378489,-0.173650683,-0.156953797,-0.194834275,0.52195289,0.427794529,0.408594264,0.450196174,0.894132401,0.870543652,0.864894278,0.874041442,2.877198939,2.877790686,2.877789726,2.877019122,0.836869671,0.871805407,0.880383776,0.866832701,5.314740732,4.886614228,4.826538651,5.028231827,1.566088773,1.570617737,1.567947294,1.567949729,Non-Viable-Tumor
7,Case 3 A10-16082-41283,554,8355,24670,0.796794891,2.352714539,14,0.012844037,73.07142857,0.14072506,7,7,8,7,0.856847447,0.857365328,0.855696478,0.857879131,0.061390487,0.076120375,0.10977216,0.073056631,0.97727746,0.971734179,0.959221863,0.97279959,0.117524301,0.122127475,0.148864019,0.125266391,0.060502562,0.075060027,0.107883012,0.071976113,0.412565169,0.414054377,0.42834073,0.413897228,0.018433984,-0.796070792,-0.781015381,-0.739420569,-0.778718033,0.648463754,0.644367931,0.631078441,0.643095781,0.987931614,0.987401109,0.983878217,0.987008064,2.64427874,2.640795019,2.640795019,2.638917689,0.391498089,0.390786075,0.398730579,0.389895902,5.342097608,5.303035562,5.269383778,5.291539519,1.350872024,1.354535471,1.354535471,1.350872024,Non-Tumor
8,Case 3 A10-17206-19249,1,17559,132967,1.674556732,12.68072128,135,0.123853211,71.56296296,0.094996694,598,1,289,1,0.142879159,0.123205846,0.124818911,0.129797895,1.04838432,1.528447174,1.489653611,1.314162356,0.788733388,0.692020465,0.699835323,0.735445604,1.028334377,1.175467982,1.166101618,1.119603091,0.694107595,0.948118974,0.927695597,0.829382524,2.611675473,2.729607886,2.722361446,2.688347188,0.073266848,-0.276741594,-0.19853242,-0.203427613,-0.226676179,0.753582023,0.67254968,0.678403312,0.705133581,0.744590265,0.689283448,0.693126991,0.70935906,4.550855855,4.550129935,4.550162551,4.553080619,2.042160098,2.048214137,2.048205351,2.048684011,8.87622811,8.396911274,8.435914527,8.62068078,2.486261681,2.473037621,2.483396413,2.480550812,Non-Viable-Tumor
9,Case 3 A10-19799-5772,2,77898,126432,7.42893219,12.05749512,590,0.541284404,83.30677966,0.099899503,599,2,375,2,0.10555883,0.09608341,0.093616916,0.109416182,1.800267622,2.24284348,2.390462386,1.615724091,0.631882166,0.541434189,0.511262302,0.669715118,1.249033076,1.338885496,1.366496593,1.210481007,1.085317522,1.301872332,1.367460293,0.974209974,2.93351774,3.006323663,3.027530139,2.90382458,0.090237513,-0.164171011,-0.118343625,-0.105093543,-0.182798691,0.638951573,0.561157983,0.534087733,0.665185276,0.666095614,0.631938871,0.620788599,0.676591536,4.91667655,4.915777488,4.915825452,4.917010361,2.157181311,2.160574431,2.159935066,2.155917066,7.980662224,7.539145636,7.391726665,8.168096268,2.444669874,2.446663643,2.445640595,2.446559443,Non-Viable-Tumor
10,Case 3 A10-25071-24159,3,28701,67696,2.737140656,6.455993652,239,0.219266055,76.60251046,0.087338416,600,3,308,3,0.120689665,0.113801731,0.110054252,0.121689459,1.570603269,1.852465511,1.983934822,1.514844515,0.606105409,0.535774999,0.502844116,0.620263064,1.185900161,1.250143091,1.277689828,1.171924929,0.963368222,1.110664891,1.174096953,0.929807636,2.758124124,2.809463227,2.830743025,2.748957734,0.120794172,-0.144459076,-0.110542463,-0.096258665,-0.150927511,0.590915024,0.529350306,0.498958884,0.601324417,0.682601757,0.658467983,0.647039294,0.686105447,4.342936995,4.344619983,4.344668907,4.343713654,2.029447361,2.028353956,2.026964646,2.030386907,6.404133015,6.128426117,5.997201276,6.463544017,1.994079709,1.995252709,1.996170984,1.995023403,Non-Viable-Tumor
